#         t          x          y          z         vx         vy         vz
      0.000   -476.220    491.430   -412.410     44.330    101.430    141.030
      0.014   -475.600    492.890   -410.390     45.780    102.180    142.560
      0.029   -474.970    494.360   -408.360     46.380    103.950    143.620
      0.043   -474.330    495.870   -406.290     47.980    105.510    145.380
      0.057   -473.650    497.400   -404.180     47.380    106.340    146.770
      0.071   -472.970    498.940   -402.060     48.330    107.240    147.460
      0.086   -472.270    500.490   -399.940     49.570    108.320    147.900
      0.100   -471.570    502.040   -397.820     51.160    108.400    148.710
      0.114   -470.850    503.590   -395.690     52.970    109.170    149.800
      0.129   -470.080    505.160   -393.530     56.110    109.760    151.210
      0.143   -469.270    506.740   -391.380     58.210    111.460    151.020
      0.157   -468.500    508.380   -389.280     59.250    113.290    152.410
      0.171   -467.680    510.030   -387.090     61.200    114.560    153.850
      0.186   -466.820    511.700   -384.850     62.510    115.470    155.860
      0.200   -465.930    513.370   -382.580     62.890    116.690    156.800
      0.214   -465.060    515.040   -380.300     62.800    116.800    160.000
      0.229   -464.160    516.700   -377.950     65.000    117.140    162.820
      0.243   -463.050    518.310   -375.630     66.420    118.590    164.350
      0.257   -462.090    520.000   -373.270     68.560    119.030    166.160
      0.271   -461.100    521.710   -370.890     70.280    121.860    168.110
      0.286   -460.090    523.460   -368.470     71.910    124.320    171.710
      0.300   -459.030    525.260   -365.970     74.530    126.310    175.150
      0.314   -457.940    527.070   -363.440     76.720    126.660    176.350
      0.329   -456.830    528.890   -360.910     78.070    127.350    177.900
      0.343   -455.700    530.730   -358.350     79.490    129.080    181.090
      0.357   -454.530    532.590   -355.730     82.010    129.660    183.770
      0.371   -453.330    534.450   -353.090     84.520    130.560    184.940
      0.386   -452.090    536.320   -350.450     87.860    131.490    187.130
      0.400   -450.790    538.190   -347.770     90.660    131.370    189.010
      0.414   -449.450    540.060   -345.070     93.450    132.600    190.920
      0.429   -448.090    541.950   -342.360     95.280    133.970    191.990
      0.443   -446.690    543.850   -339.640     98.380    133.700    192.760
      0.457   -445.260    545.750   -336.910    100.700    134.000    194.540
      0.471   -443.820    547.650   -334.140    102.600    134.270    197.320
      0.486   -442.360    549.550   -331.340    105.120    133.800    199.670
      0.500   -440.880    551.440   -328.500    107.580    134.070    202.110
      0.514   -439.350    553.370   -325.610    111.420    135.530    204.170
      0.529   -437.760    555.280   -322.840    116.910    135.640    206.120
      0.543   -436.060    557.210   -319.900    122.100    135.840    207.440
      0.557   -434.290    559.160   -316.950    126.400    137.000    209.690
      0.571   -432.480    561.130   -313.970    131.180    137.540    211.630
      0.586   -430.590    563.090   -310.930    136.010    136.520    213.790
      0.600   -428.630    565.050   -307.860    140.390    136.440    215.820
      0.614   -426.590    567.010   -304.730    144.630    136.590    218.470
      0.629   -424.510    568.950   -301.570    147.590    134.780    221.120
      0.643   -422.380    570.870   -298.350    152.450    135.330    223.400
      0.657   -420.170    572.820   -295.100    157.150    134.890    226.270
      0.671   -417.870    574.760   -291.790    161.970    133.620    229.150
      0.686   -415.480    576.660   -288.450    167.270    131.540    231.770
      0.700   -413.010    578.530   -285.060    172.350    129.650    233.760
      0.714   -410.490    580.360   -281.690    178.150    126.990    236.250
      0.729   -407.880    582.140   -278.300    183.830    123.880    237.120
      0.743   -405.210    583.880   -274.900    188.280    120.560    238.290
      0.757   -402.470    585.590   -271.470    193.820    118.780    239.600
      0.771   -399.650    587.260   -268.050    199.460    115.850    240.170
      0.786   -396.750    588.900   -264.600    205.110    113.230    242.350
      0.800   -393.770    590.490   -261.130    211.640    109.860    243.690
      0.814   -390.680    592.030   -257.650    217.820    105.820    244.840
      0.829   -387.520    593.520   -254.150    224.360    101.590    246.520
      0.843   -384.260    594.940   -250.620    230.830     97.060    246.790
      0.857   -380.900    596.300   -247.090    238.090     92.500    247.380
      0.871   -377.440    597.580   -243.550    244.480     86.820    247.810
      0.886   -373.880    598.790   -240.000    250.490     80.950    248.030
      0.900   -370.250    599.900   -236.460    254.650     74.460    248.200
      0.914   -366.550    600.900   -232.910    260.110     67.530    247.520
      0.929   -362.790    601.810   -229.390    264.110     60.900    246.470
      0.943   -358.980    602.630   -225.880    267.970     54.480    245.160
      0.957   -355.120    603.360   -222.390    271.820     49.040    243.370
      0.971   -351.200    604.020   -218.930    275.120     43.800    241.060
      0.986   -347.260    604.610   -215.500    277.480     37.550    238.740
      1.000   -343.280    605.110   -212.100    279.350     31.880    236.910
      1.014   -339.280    605.530   -208.730    281.660     26.160    235.260
      1.029   -335.260    605.860   -205.380    282.510     19.490    232.910
      1.043   -331.240    606.090   -202.090    283.930     13.380    229.150
      1.057   -327.200    606.240   -198.850    284.560      7.320    224.820
      1.071   -323.130    606.310   -195.670    286.970      2.470    220.970
      1.086   -319.040    606.310   -192.540    287.410     -4.050    217.710
      1.100   -314.950    606.210   -189.460    287.170     -9.160    214.450
      1.114   -310.860    606.050   -186.420    287.480    -13.970    211.280
      1.129   -306.760    605.820   -183.420    287.320    -19.110    207.280
      1.143   -302.670    605.500   -180.480    286.990    -25.200    203.770
      1.157   -298.570    605.110   -177.580    286.350    -29.950    200.810
      1.171   -294.480    604.660   -174.720    285.950    -34.680    198.220
      1.186   -290.390    604.110   -171.900    285.600    -41.000    194.120
      1.200   -286.320    603.490   -169.170    283.430    -45.670    189.160
      1.214   -282.280    602.780   -166.480    281.610    -52.620    186.950
      1.229   -278.280    602.000   -163.830    279.650    -57.330    185.000
      1.243   -274.290    601.150   -161.200    278.770    -60.890    181.740
      1.257   -270.340    600.250   -158.640    276.580    -63.910    178.180
      1.271   -266.410    599.330   -156.090    274.470    -66.270    177.650
      1.286   -262.520    598.360   -153.560    271.730    -68.810    175.280
      1.300   -258.640    597.350   -151.070    271.240    -72.850    172.650
      1.314   -254.780    596.290   -148.610    269.100    -75.970    171.050
      1.329   -250.960    595.200   -146.180    266.790    -77.720    168.540
      1.343   -247.150    594.080   -143.790    265.010    -79.500    165.290
      1.357   -243.380    592.930   -141.450    263.270    -81.610    163.980
      1.371   -239.620    591.740   -139.120    262.460    -84.850    161.220
      1.386   -235.880    590.510   -136.840    260.860    -87.660    158.540
      1.400   -232.170    589.240   -134.580    258.220    -91.150    157.060
      1.414   -228.480    587.910   -132.360    256.800    -94.140    153.410
      1.429   -224.830    586.550   -130.190    254.320    -96.320    150.210
      1.443   -221.210    585.160   -128.070    252.340    -98.720    146.910
      1.457   -217.620    583.720   -125.990    249.170   -101.800    145.140
      1.471   -214.070    582.260   -123.930    247.840   -103.010    143.380
      1.486   -210.540    580.770   -121.900    246.640   -105.690    141.440
      1.500   -207.030    579.250   -119.890    244.860   -106.820    139.750
      1.514   -203.550    577.710   -117.910    242.370   -108.680    136.790
      1.529   -200.110    576.150   -115.980    239.740   -111.010    134.350
      1.543   -196.690    574.540   -114.070    239.150   -113.570    132.460
      1.557   -193.280    572.920   -112.200    237.690   -113.370    130.330
      1.571   -189.900    571.290   -110.350    236.250   -115.550    129.250
