#         t          x          y          z         vx         vy         vz
      0.000     -0.900      2.390     -1.420     -0.760      3.630     -0.920
      0.014     -0.940      2.380     -1.440     -1.780      3.640     -1.090
      0.029     -0.980      2.380     -1.460     -1.760      3.510     -1.310
      0.043     -1.040      2.390     -1.470     -2.490      4.490     -0.870
      0.057     -1.100      2.420     -1.480     -1.760      5.330     -0.560
      0.071     -1.160      2.450     -1.490     -2.720      5.200     -0.480
      0.086     -1.220      2.480     -1.500     -2.780      5.310     -1.100
      0.100     -1.300      2.520     -1.510     -4.050      5.570     -1.660
      0.114     -1.390      2.570     -1.530     -4.380      7.290     -1.110
      0.129     -1.480      2.650     -1.550     -3.750      7.820     -1.250
      0.143     -1.560      2.730     -1.570     -4.730      8.650     -0.720
      0.157     -1.650      2.830     -1.580     -4.710      8.350     -1.540
      0.171     -1.740      2.930     -1.600     -5.530      8.440     -0.620
      0.186     -1.830      3.030     -1.600     -6.060      8.510     -0.130
      0.200     -1.920      3.140     -1.600     -5.610      8.680     -0.130
      0.214     -2.000      3.250     -1.600     -4.520      8.650     -0.080
      0.229     -2.070      3.370     -1.600     -4.330      8.430      0.090
      0.243     -2.140      3.480     -1.600     -4.600      8.190      0.030
      0.257     -2.200      3.600     -1.610     -4.470      7.710     -0.440
      0.271     -2.260      3.710     -1.610     -4.790      7.160     -0.400
      0.286     -2.320      3.820     -1.610     -4.900      6.540      0.350
      0.300     -2.380      3.930     -1.600     -5.100      6.490      0.750
      0.314     -2.430      4.040     -1.600     -4.260      6.190      0.820
      0.329     -2.470      4.150     -1.590     -5.420      6.730      0.290
      0.343     -2.530      4.260     -1.580     -7.200      6.660      0.880
      0.357     -2.590      4.380     -1.580     -7.000      7.090      0.500
      0.371     -2.660      4.480     -1.580     -8.290      7.990     -0.110
      0.386     -2.740      4.600     -1.580     -9.440      9.140     -0.630
      0.400     -2.830      4.730     -1.590     -9.360      9.740     -1.770
      0.414     -2.910      4.850     -1.620     -8.870     10.590     -2.170
      0.429     -2.990      4.980     -1.640     -8.550     11.650     -1.990
      0.443     -3.080      5.120     -1.670     -7.450     11.890     -2.660
      0.457     -3.150      5.250     -1.710     -6.280     11.340     -2.590
      0.471     -3.220      5.370     -1.750     -5.710     10.800     -3.220
      0.486     -3.290      5.490     -1.790     -4.150     10.770     -2.560
      0.500     -3.350      5.620     -1.820     -3.750      9.960     -2.710
      0.514     -3.400      5.740     -1.870     -2.660      9.090     -3.110
      0.529     -3.450      5.850     -1.900     -2.730      8.210     -2.630
      0.543     -3.500      5.960     -1.950     -3.050      6.240     -3.130
      0.557     -3.560      6.050     -1.990     -3.790      5.990     -2.750
      0.571     -3.620      6.150     -2.040     -3.570      5.810     -2.800
      0.586     -3.690      6.250     -2.080     -4.320      5.420     -2.550
      0.600     -3.760      6.340     -2.120     -4.750      4.640     -1.690
      0.614     -3.840      6.440     -2.140     -5.360      5.040     -1.720
      0.629     -3.930      6.530     -2.170     -5.910      4.810     -1.750
      0.643     -4.020      6.630     -2.200     -6.540      5.180     -1.490
      0.657     -4.120      6.740     -2.220     -6.070      6.300     -0.210
      0.671     -4.210      6.860     -2.230     -6.200      5.880     -0.410
      0.686     -4.300      6.970     -2.250     -6.150      6.280     -0.900
      0.700     -4.400      7.100     -2.270     -7.370      6.300     -1.330
